,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030
U001,,,,,,,4.0,,,,2.0,,,,,,,,,,,5.0,,,,,,,,4.0,,,4.0,,,,,5.0,,,5.0,,3.0,,,,,,,,,,,,,,4.0,,4.0,
U002,,,,,,,5.0,,4.0,,,,1.0,,,,,4.0,,5.0,,,,4.0,,,,,,,5.0,,,,,,,,3.0,5.0,3.0,,,,,,,,,4.0,,,,,,,,,,
U003,,,,5.0,,,,,1.0,,,,5.0,,,,,,,,,,,,,3.0,,,4.0,,,,5.0,,,,,,,,,,,,5.0,,,,3.0,,,2.0,,,,,,,,5.0
U004,,5.0,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,2.0,5.0,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,,
U005,,,,,2.0,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,3.0,,,,,3.0,3.0,,,5.0,,,,,4.0
U006,4.0,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,3.0,,,,5.0,,,,,,,,4.0,,,,,,,4.0,,3.0,,,
U007,,,,,,,,,,4.0,5.0,2.0,5.0,,4.0,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,5.0,,,,,,,,,,
U008,,,5.0,,4.0,,,,,5.0,5.0,,,5.0,4.0,,4.0,,,4.0,4.0,,,,,,,,,4.0,,,,,5.0,,2.0,,4.0,5.0,5.0,,,,,,,,,,2.0,,3.0,,,,4.0,,,
U009,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0
U010,,,,,,,5.0,,,,,,,,,,5.0,3.0,,,,,5.0,2.0,,,,,,,,,,,,,5.0,,,,,,,,,,4.0,5.0,5.0,,5.0,,,,,,,,,3.0
U011,,,,4.0,5.0,,,,,,3.0,,,4.0,,,4.0,,,,,,,,,,,,3.0,,,,,,5.0,,,,,,2.0,,,,5.0,,,,,,4.0,,,,,5.0,,,,
U012,,,,,5.0,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,5.0,4.0,,,,,,,,,,,,,,5.0,
U013,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,3.0,,,,,,5.0,,5.0,,,5.0,,,,
U014,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,4.0,,,1.0,,,,,,,,,,,5.0,,,,,,,
U015,2.0,,,,5.0,,4.0,,,,4.0,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,3.0,,,,3.0,,,,2.0,5.0,,,,,5.0,,,,,,,,,,2.0,4.0
U016,,3.0,,,,,,,,,,,,,,,,,,5.0,,,,,,2.0,,,,,5.0,,,,,,2.0,,5.0,,,,,,,2.0,5.0,,,,,,,,,,,4.0,,
U017,4.0,,,,,,,,,,,,,,3.0,,,4.0,,,,,5.0,4.0,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,3.0,,,,,,3.0
U018,,,,,,,,,,,3.0,,,5.0,4.0,,,,4.0,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,5.0,,,,,3.0,2.0,,,,,,
U019,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,4.0,,,,,,4.0,,,4.0,,,,
U020,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,,,,,1.0,,,,,,,,,5.0,,,,,,,5.0,,,4.0,,,4.0,,,,4.0,,,,,5.0
U021,,3.0,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,5.0,3.0,,,,,5.0,5.0,,,,,4.0,
U022,,,,,2.0,4.0,,,,,,,,3.0,,5.0,,,5.0,,,,,2.0,,,4.0,,3.0,4.0,,5.0,,,,,,5.0,,,3.0,,4.0,,,,,,,,4.0,,,,,,,,4.0,4.0
U023,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
U024,,,,,,,,5.0,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,5.0,,4.0,,,3.0,5.0,,,,,3.0,5.0,,,1.0,,,,,,,,5.0,3.0,,,,
U025,,5.0,,,,,,,,,,,,,3.0,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,4.0,,,,,,
U026,,,3.0,,,,,,,,,,,2.0,,1.0,,,,,4.0,,,5.0,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,3.0,,,,,,,,,,,
U027,,,,,,,,5.0,,,,,,,,5.0,2.0,,,,,,,,,5.0,,,,,,,5.0,5.0,,,,4.0,4.0,,,,,,4.0,,4.0,,,,,,,,,,,,,
U028,,4.0,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,5.0,,,,3.0,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,,
U029,,,,,5.0,,,,,,,,,5.0,,4.0,3.0,5.0,,,,,,,,5.0,,,,,,4.0,,,4.0,,4.0,,,,5.0,5.0,,5.0,,4.0,,,,,,,,,5.0,,,,,
U030,,,,2.0,,,2.0,,,5.0,,,2.0,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,,,,3.0,4.0,,4.0,4.0,2.0
U031,,,,,,,,,,5.0,,,,2.0,4.0,,,,,,,5.0,,,,,3.0,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,
U032,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,1.0,,3.0,,,,,,5.0,,,,,,,,,,
U033,,1.0,,,,5.0,,,,4.0,,,,,,,,,,4.0,4.0,,,,,,,5.0,,,4.0,,,,,,,,,,5.0,,,,,,,,,3.0,3.0,,,,,,,,,
U034,,,,,5.0,4.0,,,,,,,,5.0,,,,4.0,4.0,,,,,,,,,,4.0,,3.0,4.0,,5.0,,,,,2.0,,,,,4.0,,,,,,,,,,,,,5.0,,,
U035,,,,5.0,,,4.0,,,4.0,,,,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,3.0,4.0,,,,,5.0,,,,,,,,,,,,,
U036,,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,,5.0,,,
U037,,,,,,,,5.0,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,5.0,,,,,,,5.0,,3.0,,,,,,,,,2.0,,,,,,,5.0
U038,,,5.0,,2.0,,,,,,,4.0,,,,,,,4.0,,,3.0,,,,,4.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0
U039,,,,4.0,5.0,,,,,,,,,,1.0,1.0,,3.0,5.0,,,,,,,,4.0,,5.0,,,,,,,5.0,,,,,,,,,,,,1.0,,4.0,,4.0,,,5.0,,,,5.0,
U040,,4.0,4.0,,,,,,,2.0,,,,,,5.0,,4.0,,5.0,2.0,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,
U041,,4.0,,,,,,,,,,5.0,,3.0,,,,3.0,3.0,,,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,
U042,,,,,,,,3.0,,,,,,,,,5.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,2.0,,,
U043,,5.0,,,,,,,1.0,,,,,2.0,,,,5.0,,,,,,,4.0,,4.0,,,4.0,,5.0,,,4.0,,,,4.0,,,,4.0,4.0,,,,,,,,,,,,,,,,
U044,5.0,,,,,,4.0,,,,,,,,5.0,,,,,5.0,,4.0,,,1.0,,4.0,,,4.0,,1.0,,,,5.0,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,
U045,,5.0,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,5.0,,,,2.0,,,2.0,5.0,,,,,,2.0,,,,,,,
U046,,,5.0,2.0,,,5.0,,2.0,,,,,,1.0,,,,,2.0,,,,,,,4.0,,,,,,4.0,,,,,,,4.0,,,,5.0,,,,5.0,,,,,,,,,,,,4.0
U047,5.0,1.0,,,5.0,,,,,,4.0,,,,,,3.0,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
U048,,,,,,,,5.0,,3.0,,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,5.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
U049,,,,4.0,4.0,,,,,,,,,,,,,,,3.0,5.0,,1.0,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0
U050,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,4.0,,,,,,,,5.0,,,,,
